nama orang,geb/overl.,id,actual id,Unnamed: 4,origin
"Erlen, Paul von, zdl.",1877-1914,372,,,Germany
"Essen, A. van, zdl",1877-1953,373,,,Netherlands
"Essen, A.Ch. van, zwm > zdl",1832-±1905,374,,,Netherlands
"Esser, dr. ds. B.J.",1876-1944,375,,,Netherlands
"Esser, Cornélie Cath. H., ond.",1911-1945,376,,,Netherlands
"Esser, dr. Julius Pieter, zdl.",1852-1889,377,,,Netherlands
"Esser, Sam. Jonathan David",1874-1948,378,,,Netherlands
"Esser, Samuel Jonathan",1900-1944,379,,,Netherlands
"Evans, Charles, zdl.",-1869,380,,,United Kingdom
"Everaars, Pieter R., ond.",1884-1955,381,,,Netherlands
"Exel, Frederick Hendrik, zwm",1828-1881,382,,,Netherlands
"Faass, G.",,383,,,Germany
"Faassen, Gradus",1880-1971,384,,,Netherlands
"Faber, C.W., ond.",1905-1945,385,,,Netherlands
"Fankhauser, Ms. Rose E.",,386,,,United States of America
"Fast, Joh. Gerhard, zdl.",1861-1941,387,,,Russia
"Fast, J.J., arts",1892-1945,388,,,Germany
"Fastenrath, W., zdl",1906-,389,,,Germany
"Fauser, Fr. August, zwm",1827-1865,390,,,Germany
"Feher, K.E. von, arts",1883-,391,,,Hungary
"Fehr, Adam, zdl.",1850-1932,392,,,Germany
"Feige, Ernst Wilhelm, zdl.",1840-1901,393,,,Germany
"Feist, zr. Käthe L.A.",1892-1979,394,,,Germany
"Feldsieper, zr. Auguste",1891-,395,,,Germany
"Ferguson, C., zdl",1891-1934,396,,,Netherlands
"Fiebig, Friedrich, zdl.",1887-,397,,,Germany
"Fiedler, J.F. , zdl",1807/8-1837,398,,,Germany
"Finke, Wilhelm Heinrich, zdl.",1885-1964,399,,,Germany
"Finn, J., zdl.",1789-1853,400,,,Netherlands
"Finster, Lewis V.",1873-1977,401,,,United States of America
"Fischer, Friedrich, zdl.,",1880-1960,402,,,Germany
"Fischer, Hugo, zdl.",1883-1951,403,,,Germany
"Fischer, dr. Isaac Antoon, arts",1896 -1971,404,,,Netherlands
"Fisher, Rev. Albert H.",,405,,,United States of America
"Fisk, George Elba",1905-1977,406,,,United States of America
"Flach, Gustav Johann, zdl.",1908-,407,,,Switzerland
"Flach, J.C., arts",1884-1964,408,,,Netherlands
"Flender, Wilhelm, zdl.",1911-2000,409,,,Germany
"Flick, Alfred, zdl.",1907-1979,410,,,Germany
"Flückiger, P., zdl.",1895-1958,411,,,Switzerland
"Föhl, zr. W.M. ( Zwits.?)",1884-1939,412,,,Germany
"Fokkema, Hetty",1905-1986,413,,,Netherlands
"Fonkert, zr. H.",1887-1966,414,,,Netherlands
"Fortgens, Jac., zdl",1876-1955,415,,,Netherlands
"Franken, Carl, zdl.",1881-1942,416,,,Germany
"Frederiksen, K/C.",,417,,,Scandinavia
"Freeman, Rev. Mark",1881-1959,418,,,United States of America
"Freitag, Eduard, zdl.",1903-1932,419,,,Germany
"Frickenschmidt, Chr.W., zdl.",1856-1935,420,,,Germany
"Fries, Eduard, zdl.",1877-1923,421,,,Germany
"Fries, Ms. Ruth M.",,422,,,United States of America
"Frouws, Jac., ond.",1894-1933,423,,,Netherlands
"Fuchs, Nikolaus, zdl.",1877-1931,424,,,Germany
"Gabriel, Carl, zdl.",1880-1952,425,,,Germany
"Gaikhorst, T.A., ond.",1883-,426,,,Netherlands
"Garnerus, Annette, ond.",1889-..,427,,,Germany
"Gazendam, zr. Grietje",1891-1963,428,,,Netherlands
"Geer, jvr. zr. J.M. de, diacones",1878-1945,429,,,Netherlands
"Geerdink, A., zdl",1829-1878,430,,,Netherlands
"Geerse-Matze, P.I., zie Matze",,431,,,
"Gehrels, C.A., arts",1881-1921,432,,,Netherlands
"Geissler, Gustav A.W., zdl,",1865-1935+,433,,,Netherlands
"Geissler, J.G. zwm",1830-1870,434,,,Germany
"Gelder, zr. C.J.M. van",,435,,,Netherlands
"Geleijnse, ds. M.",1893-1985,436,,,Netherlands
"Genderen, zie van den Hoven van Genderen",,437,,,
"Gennip, Hindrik Doewes v., zdl",1822-1866,438,,,Netherlands
"Gericke, G.F.A., zdl.",1801/2-'34,439,,,Germany
"Gericke, J.F.C.",1799-1857,440,,,Germany
"Gericke, Paul A., zdl.",1865-1926,441,,,Germany
"Gericke, Wilhelm Ed. Friedr., zdl",1863-1940,442,,,Germany
"Gerlach, Georg, zdl",1885-1946?,443,,,Germany
"Giezendanner, zr. Elise",1906-1997,444,,,Switzerland
"Gijsman, P.N., zdl",1844/5-1919,445,,,Netherlands
"Gillis, Walter Emslie ()",1974-1954,446,,,Canada
"Gink, zr. J.M. van",1881-1965,447,,,Netherlands
"Ginsberg, Gustav, zdl.",1872-1943,448,,,Germany
"Glastra, zr. M.",1899-1985,449,,,Netherlands
"Gnirrep, Anna",,450,,,Netherlands
"Godau, Anna Rosine",1888-,451,,,Germany
"Godwin, Mrs.",,452,,,United States of America
"Goedhart, C., arts",,453,,,Netherlands
"Goemaat, Louise  (GZbl 1931, 198; 1937, 217)",1904-1992,454,,,Netherlands
"Goes, Wilhelmus van der, zwm",1823-1879?,456,,,Netherlands
"Goetsch, August W.F., zdl",1844-1870,457,,,Germany
"Gokkel, zr. Aletta Maria",1874-,458,,,Netherlands
